成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
アルコール,フルコナゾール,中,肝障害のリスク増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アルジオキサ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アルジオキサ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アルジオキサ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,アルジオキサ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アルジオキサ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アルジオキサ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルジオキサ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アルニカチンキ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アルニカチンキ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アルニカチンキ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,アルニカチンキ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アルニカチンキ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルニカチンキ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミニウム,ワーファリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,リチウム,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,メトトレキサート,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アスピリン,アルミニウム,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アルミニウム,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ARB,アルミニウム,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,テオフィリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,シクロスポリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,フェニトイン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,カルバマゼピン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,ジゴキシン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,インスリン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
SSRI,アルミニウム,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アルミニウム,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,ベンゾジアゼピン系,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,降圧薬,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,クマリン系抗凝血薬,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,タクロリムス,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,シクロホスファミド,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミニウム,フルコナゾール,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アルミノプロフェン,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アルミノプロフェン,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アルミノプロフェン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,アルミノプロフェン,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アルミノプロフェン,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アルミノプロフェン,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アロエ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アロエ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アロエ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アロエ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アロエ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アロエ,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,アロエ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アロエ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アロエ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アロエ葉,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アロエ葉,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アロエ葉,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,アロエ葉,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アロエ葉,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アロエ葉,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アロエ葉,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アンブロキソール,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アンブロキソール,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アンブロキソール,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,シクロスポリン,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,フェニトイン,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,カルバマゼピン,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,インスリン,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
SSRI,アンブロキソール,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アンブロキソール,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アンブロキソール,ベンゾジアゼピン系,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,降圧薬,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,クマリン系抗凝血薬,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,タクロリムス,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,シクロホスファミド,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンブロキソール,フルコナゾール,低,出血リスクの軽度増加,PMDA catalog pair expansion (review recommended),,
アンモニア,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アンモニア,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,アンモニア,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,アンモニア,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,アンモニア,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アンモニア,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アンモニア,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,アンモニア,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,アンモニア,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
アンモニア,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
アンモニア,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イオウ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イオウ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イオウ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イオウ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イオウ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イオウ,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イオウ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イオウ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イオウ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イオウ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウエキス−A,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウエキス−A,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウエキス−A,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウエキス−A,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウエキス−A,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス−A,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウエキス乾燥−A,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウエキス乾燥−A,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウエキス乾燥−A,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウエキス乾燥−A,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウエキス乾燥−A,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウエキス乾燥−A,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウ乾燥,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウ乾燥,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウ乾燥,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,インスリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,イカリソウ乾燥,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,イカリソウ乾燥,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
イカリソウ乾燥エキス−A,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,イカリソウ乾燥エキス−A,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,イカリソウ乾燥エキス−A,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,イカリソウ乾燥エキス−A,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
