製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ナオリンパス,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
ハップクールG,大協薬品工業,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、関節痛、骨折痛、腰痛、筋肉疲労,"1日1~2回、膏面のライナーを静かにはがし、そのままか、あるいは適当な大きさに切り患部に貼ってください
なお、必要に応じ、包帯、粘着テープ等で固定してください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.汗をかいたり、患部がぬれているときは、よく拭き取ってから使用してください
4.多量の汗をかくことが予想される場合は、膏体がやわらかくなりすぎる可能性があるので、使用を控えてください",,"サリチル酸グリコール
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
リードパップDS,大協薬品工業,第3類,外用薬(皮膚),うちみ,"1日1~2回、膏面のライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.定められた用法及び用量を守ってください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.必要に応じて包帯などで固定してください",,"サリチル酸メチル
dl−カンフル
l−メントール",禁止物質なし,,
タミトールパスN1,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ、骨折痛,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
6.皮膚の特に弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
ニューパス温膏,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.本剤を貼ってから汗をかくと強い刺激を感じるため、汗をかきそうな作業やスポーツを行う前には使用しないでください
6.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
7.貼ったままあるいははがした直後に入浴すると強い刺激を感じるため、1時間以上前にはがして入浴してくださいまた、入浴後は30分位してから使用してください",,"サリチル酸グリコール
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
l−メントール",禁止物質なし,,
ゴールドパスE,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
6.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
ニューパス(A),大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
6.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
ゴールドパス,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日数回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.患部の皮膚は清潔にして貼ってください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
l−メントール",禁止物質なし,,
陽源膏,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ、骨折痛,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.本剤を貼ってから汗をかくと強い刺激を感じるため、汗をかきそうな作業やスポーツを行う前には使用しないでください
6.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
7.貼ったままあるいははがした直後に入浴すると強い刺激を感じるため、1時間以上前にはがして入浴してくださいまた、入浴後は30分位してから使用してください",,"サリチル酸グリコール
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
l−メントール",禁止物質なし,,
ワイドソフトパス,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日数回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.患部の皮膚は清潔にして貼ってください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
l−メントール",禁止物質なし,,
ピタコリZ,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ、骨折痛,"1日数回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.患部の皮膚は清潔にして貼ってください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
l−メントール",禁止物質なし,,
リードエールT,大協薬品工業,第3類,外用薬(皮膚),うちみ,"1日1~2回、膏面のライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.定められた用法及び用量を守ってください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.必要に応じて包帯などで固定してください",,"サリチル酸グリコール
トコフェロール酢酸エステル
l−メントール",禁止物質なし,,
リードパップT,大協薬品工業,第3類,外用薬(皮膚),うちみ,"1日1~2回、膏面のライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.定められた用法及び用量を守ってください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.必要に応じて包帯などで固定してください",,"サリチル酸メチル
dl−カンフル
l−メントール",禁止物質なし,,
鎮丸膏,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ、骨折痛,"1日1~2回ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.本剤を貼ってから汗をかくと強い刺激を感じるため、汗をかきそうな作業やスポーツを行う前には使用しないでください
6.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
7.貼ったままあるいははがした直後に入浴すると強い刺激を感じるため、1時間以上前にはがして入浴してくださいまた、入浴後は30分位してから使用してください
8.皮膚の弱い人は、本剤を同じところに貼り続けないでください
9.本剤に触れた手で、目の周囲、口唇、鼻孔、その他の粘膜にさわらないでください",,"サリチル酸グリコール
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
l−メントール",禁止物質なし,,
リサインパス,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
ニッコリパスA,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
6.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
ノーハパス,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
6.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
温丸膏T,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回、ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.本剤を貼ってから汗をかくと強い刺激を感じるため、汗をかきそうな作業やスポーツを行う前には使用しないでください
6.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
7.貼ったままあるいははがした直後に入浴すると強い刺激を感じるため、1時間以上前にはがして入浴してくださいまた、入浴後は30分位してから使用してください",,"グリチルレチン酸
サリチル酸メチル
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
はりほん温膏,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.貼った患部をコタツや電気毛布等で温めないでください
4.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
5.本剤を貼ってから汗をかくと強い刺激を感じるため、汗をかきそうな作業やスポーツを行う前には使用しないでください
6.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
7.貼ったままあるいははがした直後に入浴すると強い刺激を感じるため、1時間以上前にはがして入浴してくださいまた、入浴後は30分位してから使用してください",,"サリチル酸グリコール
トコフェロール酢酸エステル
ノニル酸ワニリルアミド
l−メントール",禁止物質なし,,
シートパップ,大協薬品工業,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、関節痛、骨折痛、腰痛、筋肉疲労,"1日1~2回、膏面のライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.粘着テープ等でかぶれやすい人は使用しないでください
4.汗をかいたり、患部がぬれているときは、よく拭き取ってから使用してください
5.多量の汗をかくことが予想される場合は、膏体がやわらかくなりすぎる可能性があるので、使用を控えてください",,"サリチル酸グリコール
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
コリパット,大協薬品工業,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、しもやけ,"1日1~2回ライナーをはがし、患部に貼ってください
<用法及び用量に関連する注意>
1.用法及び用量を厳守してください
2.小児に使用させる場合には、保護者の指導監督のもとに使用させてください
3.汗をかいたり、患部がぬれている時は、よく拭き取ってから使用してください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮膚の弱い人は、同じ部位に続けて貼らないでください",,"サリチル酸メチル
トコフェロール酢酸エステル
ハッカ油
dl−カンフル
l−メントール",禁止物質なし,,
クールメルパス,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合には、保護者の指導監督のもとに使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
ホットリフェンダH,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、眼、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は保護者の指導監督の下に使用させてください
5.本剤の使用により、特に強いかゆみや痛みが出た場合は、直ちにはがして濡れタオルで拭いてください
6.入浴に際しては、1時間以上前にはがしてくださいはがした直後に入浴すると、強い刺激を感じることがありますまた入浴後30分位過ぎてから貼ってください
7.貼った部分を、コタツや電気毛布等で温めないでください強い刺激を感じることがあります",,"サリチル酸メチル
トウガラシエキス
トコフェロール酢酸エステル
dl−カンフル",禁止物質なし,,
GSリフェンダ,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、関節痛、骨折痛、腰痛、肩こり、筋肉疲労、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、眼、鼻腔、口唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合には保護者の指導監督のもとに使用させてください",,"サリチル酸グリコール
l−メントール",禁止物質なし,,
クールリフェンダ,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、眼、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールシンパス,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、眼、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールメトテック,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇などの粘膜に触れないよう注意してください
4.小児に使用させる場合には、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
ホットメトテックN,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇などの粘膜に触れないよう注意してください
4.小児に使用させる場合には、保護者の指導監督の下に使用させてください
5.本剤の使用により、とくに強いかゆみや痛みが出た場合には直ちにはがして、濡れタオルで拭いてください
6.入浴に際しては、1時間以上前にはがしてくださいはがした直後に入浴すると強い刺激を感じることがありますまた、入浴後30分位過ぎてから貼ってください
7.貼った部分を、コタツや電気毛布等で温めないでください強い刺激を感じることがあります",,"サリチル酸メチル
トウガラシエキス
トコフェロール酢酸エステル
dl−カンフル",禁止物質なし,,
クールリフェンダa,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、眼、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールリフェンダa,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、腰痛、関節痛、しもやけ、筋肉疲労、骨折痛,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールシンパスa,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、腰痛、関節痛、しもやけ、筋肉疲労、骨折痛,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールビハーラU,タカミツ,第3類,外用薬(皮膚),腰痛、打撲、捻挫、肩こり、関節痛、筋肉痛、筋肉疲労、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、眼、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールビハーラU,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、腰痛、関節痛、しもやけ、筋肉疲労、骨折痛,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
クールメルパスa,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、腰痛、関節痛、しもやけ、筋肉疲労、骨折痛,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇などの粘膜に触れないよう注意してください
4.小児に使用させる場合には、保護者の指導監督の下に使用させてください",,"サリチル酸メチル
トコフェロール酢酸エステル
dl−カンフル
l−メントール",禁止物質なし,,
GSリフェンダa,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、関節痛、骨折痛、腰痛、肩こり、筋肉疲労、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、口唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合には保護者の指導監督のもとに使用させてください",,"サリチル酸グリコール
l−メントール",禁止物質なし,,
GSリフェンダu,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、筋肉疲労、関節痛、腰痛、肩こり、骨折痛、しもやけ,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇などの粘膜に触れないよう注意してください
4.小児に使用させる場合には、保護者の指導監督の下に使用させてください",,"グリチルレチン酸
サリチル酸グリコール
トコフェロール酢酸エステル
l−メントール",禁止物質なし,,
ホットビハーラU,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、腰痛、関節痛、しもやけ、筋肉疲労、骨折痛,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は保護者の指導監督の下に使用させてください
5.本剤の使用により、特に強いかゆみや痛みが出た場合は、直ちにはがして濡れタオルで拭いてください
6.入浴に際しては、1時間以上前にはがしてくださいはがした直後に入浴すると、強い刺激を感じることがありますまた入浴後30分位過ぎてから貼ってください
7.貼った部分を、コタツや電気毛布等で温めないでください強い刺激を感じることがあります",,"サリチル酸メチル
トウガラシエキス
トコフェロール酢酸エステル
dl−カンフル",禁止物質なし,,
ホットシンパスa,タカミツ,第3類,外用薬(皮膚),打撲、捻挫、筋肉痛、肩こり、腰痛、関節痛、しもやけ、筋肉疲労、骨折痛,"表面のフィルムをはがして、1日1~2回患部に貼付してください
必要な時は、包帯又はテープでとめてください
<用法・用量に関する注意>
1.定められた用法・用量を守ってください
2.体の表面に脂や汗がある場合は、よく拭き取ってから貼付してください
3.本剤に触れた手で、目、鼻腔、唇等の粘膜に触れないよう注意してください
4.小児に使用させる場合は保護者の指導監督の下に使用させてください
5.本剤の使用により、特に強いかゆみや痛みが出た場合は、直ちにはがして、濡れタオルで拭いてください
6.入浴に際しては、1時間以上前にはがしてくださいはがした直後に入浴すると強い刺激を感じることがありますまた入浴後30分位過ぎてから貼ってください
7.貼った部分を、コタツや電気毛布等で温めないでください強い刺激を感じることがあります",,"サリチル酸メチル
トウガラシエキス
トコフェロール酢酸エステル
dl−カンフル",禁止物質なし,,
