成分名,副作用レベル,副作用症状,禁忌条件,出典
バクモンドウ,中,小島麦門冬M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島麦門冬M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
キクカ,中,ツムラの生薬キクカ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ツムラの生薬キクカ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
キョウカツ,中,高砂キョウカツM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂キョウカツM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
サイシン,中,小島細辛M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島細辛M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
ドクカツ,中,高砂トウドクカツM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂トウドクカツM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
マンケイシ,中,トチモトのマンケイシ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのマンケイシ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
カシ,高,発疹、ショック、吐、下痢、肝,,PMDA iyakuSearch
硫酸ナトリウム,中,発疹,,PMDA iyakuSearch
チョウトウコウ,中,小島釣藤鈎M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島釣藤鈎M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
キッピ,中,トチモトのキッピ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのキッピ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ハマボウフウ,中,小島浜防風M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島浜防風M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
ソボク,中,トチモトのソボク 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのソボク 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ケイシ,中,トチモトのケイシ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのケイシ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
オンジ,中,オンジダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 オンジダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ゴミシ,中,小島五味子M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島五味子M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
コウベイ,中,トチモトのコウベイ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのコウベイ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
タンジン,中,高砂タンジンM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂タンジンM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
ゴシツ,中,小島牛膝M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島牛膝M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
コハク,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
テンマ,中,高砂テンマM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂テンマM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
丹参,中,ウチダのタンジンM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのタンジンM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組,,PMDA iyakuSearch
ゼンコ,中,トチモトのゼンコ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのゼンコ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
ゲンジン,中,高砂ゲンジンM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂ゲンジンM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
バイモ,中,高砂バイモM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂バイモM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
ウコン,中,トチモトのウコン 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トチモトのウコン 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
カッコウ,中,高砂カッコウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂カッコウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
カンテン末,中,花扇カンテン末K 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 花扇カンテン末K 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
トコフェロール,中,発疹、胃、下痢,,PMDA iyakuSearch
乾燥酵母,中,下痢,,PMDA iyakuSearch
ハチミツ,中,ハチミツ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ハチミツ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の性状,,PMDA iyakuSearch
ビタミンE,中,ユベラ軟膏 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ユベラ軟膏 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
塩化カルシウム水和物,中,胃,,PMDA iyakuSearch
グリチルリチン酸,高,発疹、ショック、吐、肝,,PMDA iyakuSearch
チクセツニンジン末,中,ウチダのチクセツニンジン末M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ウチダのチクセツニンジン末M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.,,PMDA iyakuSearch
サリチル酸メチル,中,発疹、吐,,PMDA iyakuSearch
ユーカリ油,中,発疹,,PMDA iyakuSearch
エストラジオール,高,肝,,PMDA iyakuSearch
エチニルエストラジオール,高,発疹、胃、吐、めまい、下痢,,PMDA iyakuSearch
ケトプロフェン,高,発疹、ショック,,PMDA iyakuSearch
クロタミトン,中,発疹、ショック、胃、吐、下痢,,PMDA iyakuSearch
グリチルレチン酸,中,11.副作用 11.2その他の副作用 17.臨床成績 17.1有効性及び安全性に関する試験 18.薬効薬理 18.1作用機序 19.有効成分に関する理化学的知見 20.取扱い上の注意 22.包装 23.主要文献 24.文献請求先及び問い合わせ先 26.製造販売業者等 デルマクリンA軟膏1%/デルマクリンクリーム1%/ハイデルマートクリーム2% 添付文書番号 2649720M1049_3_04 企業,,PMDA iyakuSearch
ブテナフィン塩酸塩,中,ボレークリーム1%/ボレー外用液1% 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ボレークリーム1%/ボレー外用液1% 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等,,PMDA iyakuSearch
リドカイン,高,眠気、ショック、吐,,PMDA iyakuSearch
dl−カンフル,中,発疹,,PMDA iyakuSearch
テルビナフィン塩酸塩,中,発疹,,PMDA iyakuSearch
ベンザルコニウム塩化物,高,ショック、胃、吐、下痢,,PMDA iyakuSearch
ジフェンヒドラミン,高,ショック、胃、吐、下痢,,PMDA iyakuSearch
尿素,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
ジブカイン塩酸塩,高,眠気、ショック、吐,,PMDA iyakuSearch
ラノコナゾール,中,アスタットクリーム1%/アスタット外用液1%/アスタット軟膏1% 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 アスタットクリーム1%/アスタット外用液1%/アスタット軟膏1% 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成,,PMDA iyakuSearch
トリアムシノロンアセトニド,高,発疹,,PMDA iyakuSearch
セチルピリジニウム塩化物水和物,高,眠気、ショック、吐,,PMDA iyakuSearch
プレドニゾロン,中,ショック、めまい,,PMDA iyakuSearch
クロルヘキシジングルコン酸塩,高,発疹、ショック,,PMDA iyakuSearch
クロルヘキシジン塩酸塩,高,ショック、胃、吐、下痢,,PMDA iyakuSearch
トウガラシチンキ,中,トウガラシチンキ「コザカイ・M」 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 トウガラシチンキ「コザカイ・M」 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名,,PMDA iyakuSearch
ヘパリン類似物質,中,発疹,,PMDA iyakuSearch
サリチル酸,高,胃、下痢、肝,,PMDA iyakuSearch
フェノール,中,発疹,,PMDA iyakuSearch
酸化亜鉛,中,発疹,,PMDA iyakuSearch
スルファジアジン,高,発疹、肝,,PMDA iyakuSearch
イオウ,中,イオウ「コザカイ・M」 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 イオウ「コザカイ・M」 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 2.禁忌(次の患,,PMDA iyakuSearch
レゾルシン,中,胃,,PMDA iyakuSearch
イブプロフェンピコノール,中,発疹、肝,,PMDA iyakuSearch
ホモスルファミン,高,眠気、ショック、吐,,PMDA iyakuSearch
ベンゼトニウム塩化物,中,アグサール 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 アグサール 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
インドメタシン,高,ショック、胃、吐、肝,,PMDA iyakuSearch
フェルビナク,高,発疹、ショック,,PMDA iyakuSearch
ジクロフェナクナトリウム,高,ショック,,PMDA iyakuSearch
ゴマ油,中,ゴマ油 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ゴマ油 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の性状 4,,PMDA iyakuSearch
ミツロウ,中,サラシミツロウ 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 サラシミツロウ 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
トウガラシエキス,中,発疹,,PMDA iyakuSearch
ヘパリンナトリウム,高,ショック、肝,,PMDA iyakuSearch
ピロキシカム,中,発疹,,PMDA iyakuSearch
オキシコナゾール硝酸塩,中,発疹、肝,,PMDA iyakuSearch
ミコナゾール硝酸塩,中,フロリード腟坐剤100mg 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 フロリード腟坐剤100mg 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 2.禁忌,,PMDA iyakuSearch
トルナフタート,中,11.副作用 11.2その他の副作用 18.薬効薬理 18.1作用機序 19.有効成分に関する理化学的知見 22.包装 23.主要文献 24.文献請求先及び問い合わせ先 26.製造販売業者等 ハイアラージン軟膏2% 添付文書番号 2659705M1032_3_05 企業コード 450064 作成又は改訂年月 ** 2024年9月改訂(第3版) * 2024年2月改訂(第2版) 日本標準商品分類番号,,PMDA iyakuSearch
クロトリマゾール,中,吐、肝,,PMDA iyakuSearch
ビホナゾール,中,ビホナゾールクリーム1%「サワイ」 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ビホナゾールクリーム1%「サワイ」 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般,,PMDA iyakuSearch
ヒノキチオール,高,眠気、ショック、吐,,PMDA iyakuSearch
安息香酸,高,眠気、ショック、吐,,PMDA iyakuSearch
チモール,中,チモール「VTRS」原末 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 チモール「VTRS」原末 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性,,PMDA iyakuSearch
シコン,中,小島紫根M 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 小島紫根M 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の,,PMDA iyakuSearch
プロカイン塩酸塩,高,発疹、ショック,,PMDA iyakuSearch
チョウジ油,中,サージカルパック口腔用 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 サージカルパック口腔用 処方せん医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
クレゾール,中,クレゾール石ケン液「タイセイ」 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 クレゾール石ケン液「タイセイ」 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称,,PMDA iyakuSearch
白色ワセリン,中,白色ワセリン 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 白色ワセリン 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製,,PMDA iyakuSearch
サンシシ末,高,下痢,,PMDA iyakuSearch
トウガラシ末,中,ホリエ トウガラシ末K 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ホリエ トウガラシ末K 処方せん医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成,,PMDA iyakuSearch
カンフル,中,発疹,,PMDA iyakuSearch
グリチルリチン酸一アンモニウム,高,発疹、ショック、吐、肝,,PMDA iyakuSearch
プロピレングリコール,高,発疹、ショック、吐、めまい、下痢,,PMDA iyakuSearch
オリブ油,中,オリブ油 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 オリブ油 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の性状,,PMDA iyakuSearch
ダイズ油,中,ダイズ油 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 ダイズ油 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.2製剤の性状,,PMDA iyakuSearch
黄色ワセリン,中,11.副作用 11.2その他の副作用 22.包装 24.文献請求先及び問い合わせ先 26.製造販売業者等 黄色ワセリン 添付文書番号 7121701X1098_2_07 企業コード 530090 作成又は改訂年月 * 2024年11月改訂(第2版) 2023年11月改訂(第1版) 日本標準商品分類番号 877121 薬効分類名 軟膏基剤 承認等 黄色ワセリン 販売名コード YJコード 712170,,PMDA iyakuSearch
ポビドンヨード,高,ショック,,PMDA iyakuSearch
アズレンスルホン酸ナトリウム水和物,中,含嗽用ハチアズレ顆粒 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 含嗽用ハチアズレ顆粒 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.,,PMDA iyakuSearch
ヨウ化カリウム,中,発疹、胃、肝,,PMDA iyakuSearch
ヨウ素,中,希ヨードチンキ「タイセイ」 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 希ヨードチンキ「タイセイ」 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 2.禁忌,,PMDA iyakuSearch
濃グリセリン,高,吐、肝,,PMDA iyakuSearch
カルバゾクロム,中,発疹、胃、吐,,PMDA iyakuSearch
プレドニゾロン酢酸エステル,高,ショック,,PMDA iyakuSearch
ヒドロコルチゾン酢酸エステル,高,ショック、胃、吐、下痢,,PMDA iyakuSearch
アルミニウム,高,発疹、ショック、胃、吐、めまい,,PMDA iyakuSearch
dl−メチルエフェドリン塩酸塩,高,眠気、発疹、ショック、胃、吐,,PMDA iyakuSearch
塩酸テトラヒドロゾリン,中,ショック、めまい,,PMDA iyakuSearch
フェニレフリン塩酸塩,高,発疹、ショック、吐,,PMDA iyakuSearch
リドカイン塩酸塩,高,眠気、ショック、吐、肝,,PMDA iyakuSearch
エフェドリン塩酸塩,高,発疹、吐、めまい,,PMDA iyakuSearch
インチンコウ,中,インチンコウダイコーM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 インチンコウダイコーM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状,,PMDA iyakuSearch
バシトラシン,高,発疹、ショック,,PMDA iyakuSearch
フラジオマイシン硫酸塩,中,発疹,,PMDA iyakuSearch
テトラサイクリン塩酸塩,中,発疹,,PMDA iyakuSearch
オキシテトラサイクリン塩酸塩,中,発疹,,PMDA iyakuSearch
ヒドロコルチゾン,中,発疹,,PMDA iyakuSearch
ベタメタゾン吉草酸エステル,高,発疹、ショック,,PMDA iyakuSearch
クロラムフェニコール,高,発疹、ショック、胃、吐、下痢,,PMDA iyakuSearch
プレドニゾロン吉草酸エステル酢酸エステル,高,発疹,,PMDA iyakuSearch
タンニン酸,高,ショック、胃、下痢、肝,,PMDA iyakuSearch
ヒドロコルチゾン酪酸エステル,高,肝,,PMDA iyakuSearch
デキサメタゾン,高,肝,,PMDA iyakuSearch
コルチゾン酢酸エステル,高,ショック、胃、吐、下痢,,PMDA iyakuSearch
フルオシノロンアセトニド,高,発疹,,PMDA iyakuSearch
トチュウ,中,高砂トチュウM 当ウェブサイトを快適にご覧いただくには、ブラウザのJavaScript設定を有効(オン)にしていただく必要がございます。 Pmda 独立行政法人 医薬品医療機器総合機構 標準 大 特大 医療用医薬品 詳細表示 高砂トチュウM 処方せん医薬品以外の医薬品 添付文書番号 企業コード 作成又は改訂年月 日本標準商品分類番号 薬効分類名 承認等 一般的名称 3.組成・性状 3.1組成 3.,,PMDA iyakuSearch
