成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
カリウム,メトトレキサート,中,物であるミコフェノール酸のトラフ値が約50%低下したとの報告がある 2) 。本剤は、ミコフェノール酸の腸肝循環による再吸収を抑制する可能性があると考えられる。 メトトレキサート メトトレキサートのクリアランスが減少するおそれがある。 メトトレキサートの尿細管分泌が阻害され、体内からの消失が遅延し、メトトレキサートの毒性が増強する可能性がある。 11. 副作用 次の副作用があらわれることがあるので、観察を十分に行い、異常が認められた場合には投与を中止するなど適切な処置を行うこと,PMDA iyakuSearch,,
グルコン酸カルシウム水和物,ジゴキシン,中,"とが多い。 , , , , 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 * 強心配糖体 * メチルジゴキシン * ジゴキシン * デスラノシド * 強心配糖体の作用を増強し、徐脈、心室性期外収縮、房室ブロック、心室頻拍等の中毒症状を誘発するおそれがある。治療上やむを得ないと判断される場合を除き、これらの薬剤との併用は避けること。やむを得ず併用する場合には、心電図検査等によるモニタリングを行い、不整脈の発現に対応でき",PMDA iyakuSearch,,
L−アスパラギン酸カリウム,シクロスポリン,高,抗剤 ロサルタンカリウム カンデサルタンシレキセチル バルサルタン等 非ステロイド性消炎鎮痛剤 インドメタシン等 β遮断剤 プロプラノロール メトプロロール等 シクロスポリン ヘパリン ジゴキシン * トルバプタン 高カリウム血症があらわれることがある。 定期的に血清カリウム値を観察し、異常が認められた場合には、本剤を減量するなど適切な処置を行う。 * カリウム保持性利尿剤はナトリウム、水の排泄を促進し、カリウムの排泄を抑制する。 アンジオテンシン変換酵素阻害剤、アンジオテン,PMDA iyakuSearch,,
L−アスパラギン酸カリウム,ジゴキシン,高,カンデサルタンシレキセチル バルサルタン等 非ステロイド性消炎鎮痛剤 インドメタシン等 β遮断剤 プロプラノロール メトプロロール等 シクロスポリン ヘパリン ジゴキシン * トルバプタン 高カリウム血症があらわれることがある。 定期的に血清カリウム値を観察し、異常が認められた場合には、本剤を減量するなど適切な処置を行う。 * カリウム保持性利尿剤はナトリウム、水の排泄を促進し、カリウムの排泄を抑制する。 アンジオテンシン変換酵素阻害剤、アンジオテンシンII受容体拮抗剤は、ア,PMDA iyakuSearch,,
L−アスパラギン酸カリウム,インスリン,高,TA001 4. 効能又は効果 下記疾患又は状態におけるカリウム補給(マグネシウム欠乏を合併している疑いのある場合) 降圧利尿剤、副腎皮質ホルモン、強心配糖体、インスリン、ある種の抗生物質などの連用時 低カリウム血症型周期性四肢麻痺 心疾患時の低カリウム状態 肝疾患時の低カリウム状態 重症嘔吐、下痢、カリウム摂取不足及び手術後 6. 用法及び用量 原則として、L-アスパラギン酸カリウムとして1日225~750mgを2~3回に分割経口投与する。 なお、年齢、症状により適宜増減す,PMDA iyakuSearch,,
ジゴキシン,乳酸カルシウム,中,こと。一般に生理機能が低下している。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 ジギタリス製剤 ジゴキシン等 ジギタリス中毒(不整脈、ショック)があらわれることがある。定期的にジギタリス中毒の有無、心電図検査を行い、必要に応じてジギタリス製剤の血中濃度を測定し、異常が認められた場合には、ジギタリス製剤を減量若しくは中止する。 ジギタリス製剤の作用を増強する。 テトラサイクリン系抗生物質 テトラサイクリン ミノサイ,PMDA iyakuSearch,,
ジゴキシン,乳酸カルシウム水和物,中,こと。一般に生理機能が低下している。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 ジギタリス製剤 ジゴキシン等 ジギタリス中毒(不整脈、ショック)があらわれることがある。定期的にジギタリス中毒の有無、心電図検査を行い、必要に応じてジギタリス製剤の血中濃度を測定し、異常が認められた場合には、ジギタリス製剤を減量若しくは中止する。 ジギタリス製剤の作用を増強する。 テトラサイクリン系抗生物質 テトラサイクリン ミノサイ,PMDA iyakuSearch,,
グルコン酸カルシウム,ジゴキシン,中,"とが多い。 , , , , 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 * 強心配糖体 * メチルジゴキシン * ジゴキシン * デスラノシド * 強心配糖体の作用を増強し、徐脈、心室性期外収縮、房室ブロック、心室頻拍等の中毒症状を誘発するおそれがある。治療上やむを得ないと判断される場合を除き、これらの薬剤との併用は避けること。やむを得ず併用する場合には、心電図検査等によるモニタリングを行い、不整脈の発現に対応でき",PMDA iyakuSearch,,
カシ,シクロスポリン,中,ステラーゼ阻害剤、カルシウム製剤の投与等の適切な処置を行うこと。 両薬剤ともに神経筋遮断作用を有しており、併用によりその作用が増強される。 腎毒性を有する薬剤 シクロスポリン アムホテリシンB 等 腎障害が発現、悪化するおそれがある。 両薬剤ともに腎毒性を有するが、相互作用の機序は不明。 11. 副作用 次の副作用があらわれることがあるので、観察を十分に行い、異常が認められた場合には投与を中止するなど適切な処置を行うこと。 11.1 重大な副作用 11.1.1 ショック(0.,PMDA iyakuSearch,,
コハク,ワーファリン,高,告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 ワルファリンカリウム 出血傾向、プロトロンビン時間延長等が報告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 イリノテカン塩酸塩水和物 骨髄機能抑制、下痢等の副作用を増強するおそれがあるため、減量するなど慎重に,PMDA iyakuSearch,,
コハク,テオフィリン,高,"告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 テオフィリン 4) , 5) アミノフィリン水和物 悪心・嘔吐、不整脈、痙攣等が報告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 シクロスポリン タクロリムス水和物 腎障害等が報告されているので、減量するなど",PMDA iyakuSearch,,
コハク,シクロスポリン,高,告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 シクロスポリン タクロリムス水和物 腎障害等が報告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 ワルファリンカリウム 出血傾向、プロトロンビン時間延長等が報告されているので、減量するなど慎重に投与すること。,PMDA iyakuSearch,,
コハク,フェニトイン,高,"の阻害によるフェキソフェナジンのクリアランスの低下及び吸収率の増加に起因するものと推定される。 CYP3A4誘導作用を有する薬剤 リファンピシン、リファブチン、フェニトイン、フェノバルビタール等 セイヨウオトギリソウ(St. John&rsquo;s Wort, セント・ジョーンズ・ワート)含有食品 本剤の作用が減弱するおそれがある。 これらの薬剤のCYP3A誘導作用により、本剤の代謝を促進し、本剤の血中濃度を低下させる。 11. 副作用 次の副作用があらわれることがあるので",PMDA iyakuSearch,,
カルバマゼピン,コハク,高,告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 カルバマゼピン めまい、運動失調等が報告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 コルヒチン 下痢、腹痛、発熱、筋肉痛、汎血球減少、呼吸困難等が報告されているので、減量するなど慎重に投与すること。 本剤は,PMDA iyakuSearch,,
コハク,ジゴキシン,高,ル酸塩水和物の用量は、エドキサバントシル酸塩水和物の電子添文を参照すること。 本剤がP-糖蛋白質を阻害し、エドキサバンの血中濃度を上昇させるためと考えられる。 ジゴキシン ジゴキシンの作用増強による嘔気、嘔吐、不整脈等の中毒症状が報告されているので、減量するなど慎重に投与すること。 本剤の腸内細菌叢への影響により、ジゴキシンの代謝が抑制される。 シメチジン 難聴が報告されているので、減量するなど慎重に投与すること。 これらの薬剤のCYP3A阻害作用により、本剤の代謝が抑制され,PMDA iyakuSearch,,
コハク,タクロリムス,高,、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 シクロスポリン タクロリムス水和物 腎障害等が報告されているので、減量するなど慎重に投与すること。 本剤はCYP3Aと結合し、複合体を形成するため、これらの薬剤の代謝を抑制し、血中濃度が上昇することがある。 ワルファリンカリウム 出血傾向、プロトロンビン時間延長等が報告されているので、減量するなど慎重に投与すること。 本剤はCYP3A,PMDA iyakuSearch,,
