製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ビタトレールＡ坐剤,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"次の量を肛門内に挿入してください
成人（１５歳以上）：１回１個
１日１～３回使用
１５歳未満：使用しないこと
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．本剤が軟らかい場合には、しばらく冷やした後に使用することまた、硬すぎる場合には、軟らかくなった後に使用すること
３．肛門にのみ使用すること",,"アラントイン
イソプロピルメチルフェノール
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン
ｌ−メントール",禁止物質あり,S9. 糖質コルチコイド,
ビタトレールＡ注入軟膏,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"肛門内に注入する場合
ノズル部分を肛門内に挿入し、全量をゆっくり注入してください
成人（１５歳以上）：１回１個
１日１～３回使用
１５歳未満：使用しないこと
１．キャップをとり、軟膏を少し出します
２．ノズル部分を肛門内に挿入し、容器を押して軟膏をゆっくり注入してください
（押したままの状態で引き抜いてください）
患部に塗布する場合
次の量を患部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
キャップをとり、軟膏をそのまま塗るか、ガーゼなどにのばして患部に貼付してください
軟膏が硬くて出しにくい場合は、手で握ってあたためると軟らかくなります
注入式のため、容器内に軟膏が少量残りますが、残量を見込んで充填しています
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．肛門部にのみ使用すること
３．肛門内に注入する場合、ノズル部分のみを挿入して使用すること",,"アラントイン
イソプロピルメチルフェノール
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
ザーゲンＡＸ軟膏,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に使用させる場合には、保護者の指導監督のもとに使用させること
３．肛門部にのみ使用すること",,"アラントイン
イソプロピルメチルフェノール
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質なし,,
プリジエールα軟膏,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．小児に使用させる場合には、保護者の指導監督のもとに使用させること
３．肛門部にのみ使用すること",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質なし,,
ザーゲンＡＸ坐剤,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"次の量を肛門内に挿入してください
成人（１５歳以上）：１回１個
１日１～３回使用
１５歳未満：使用しないこと
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．本剤が軟らかい場合には、しばらく冷やした後に使用することまた、硬すぎる場合には、軟らかくなった後に使用すること
３．肛門にのみ使用すること",,"アラントイン
イソプロピルメチルフェノール
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン
ｌ−メントール",禁止物質あり,S9. 糖質コルチコイド,
ザーゲンＡＸ注入軟膏,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"肛門内に注入する場合
ノズル部分を肛門内に挿入し、全量をゆっくり注入してください
成人（１５歳以上）：１回１個
１日１～３回使用
１５歳未満：使用しないこと
１．キャップをとり、軟膏を少し出します
２．ノズル部分を肛門内に挿入し、容器を押して軟膏をゆっくり注入してください
（押したままの状態で引き抜いてください）
患部に塗布する場合
次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
キャップをとり、軟膏をそのまま塗るか、ガーゼなどにのばして患部に貼付してください
軟膏が硬くて出しにくい場合は、手で握ってあたためると軟らかくなります
注入式のため、容器内に軟膏が少量残りますが、残量を見込んで充填しています
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．肛門部にのみ使用すること
３．肛門内に注入する場合、ノズル部分のみを挿入して使用すること",,"アラントイン
イソプロピルメチルフェノール
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
プリジエールα坐剤,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"次の量を肛門内に挿入してください
成人（１５歳以上）：１回１個
１日１～３回使用
１５歳未満：使用しないこと
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．本剤が軟らかい場合には、しばらく冷やした後に使用することまた、硬すぎる場合には、軟らかくなった後に使用すること
３．肛門にのみ使用すること",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質あり,S9. 糖質コルチコイド,
プリジエールα注入軟膏,中外医薬生産,指定第2類,外用薬（皮膚）,さけ痔,"肛門内に注入する場合
ノズル部分を肛門内に挿入し、全量をゆっくり注入してください
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
１．キャップをとり、軟膏を少し出します
２．ノズル部分を肛門内に挿入し、容器を押して軟膏をゆっくり注入してください
（押したままの状態で引き抜いてください）
患部に塗布する場合
次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
キャップをとり、軟膏をそのまま塗るか、ガーゼなどにのばして患部に貼付してください
軟膏が硬くて出しにくい場合は、手で握ってあたためると軟らかくなります
注入式のため、容器内に軟膏が少量残りますが、残量を見込んで充填しています
＜用法及び用量に関連する注意＞
１．用法・用量を厳守すること
２．肛門部にのみ使用すること
３．肛門内に注入する場合、ノズル部分のみを挿入して使用すること",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
痔光軟膏ホワイト,東宝製薬,指定第2類,外用薬（皮膚）,さけ痔,"適量をとり、肛門部に塗布する
なお、１日３回まで使用できる
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に使用させる場合には、保護者の指導監督のもとに使用させてください
３．肛門部にのみ使用してください",,"イソプロピルメチルフェノール
グリチルレチン酸
ヒドロコルチゾン酢酸エステル
リドカイン",禁止物質なし,,
ドルマインＨ坐剤,日新製薬・山,指定第2類,外用薬（皮膚）,さけ痔,"成人（１５歳以上）：１回１個
肛門内に挿入してください
なお、１日３回まで使用できます
１５歳未満：使用しないでください
＜用法・用量に関連する注意＞
１．小児には使用させないでください
２．本剤が軟らかい場合には、しばらく冷やした後に使用してくださいまた、硬すぎる場合には、軟らかくなった後に使用してください
３．肛門にのみ使用してください
４．定められた用法・用量を厳守してください",15,"アラントイン
イソプロピルメチルフェノール
ヒドロコルチゾン酢酸エステル
ユーカリ油
リドカイン塩酸塩
卵黄油
ｄｌ−メチルエフェドリン塩酸塩",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
レーバンＨ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
奥田ぢ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
フェロテナス注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
ラナンキュラス注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないでください
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないでください
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．定められた用法・用量を厳守してください",15,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
ダイアスター注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
ザッスル注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
コネクタス注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
オッタヴィーノ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
ボルカインＡ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
エバージエルＶ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
オノフェＡ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
サフィニアぢエース注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
レーバンＨ坐剤ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"成人（１５歳以上）１回１個を１日１～３回、肛門内に挿入してください
＜用法及び用量に関連する注意＞
１．用法・用量を厳守してください
２．本剤が軟らかい場合には、しばらく冷やした後に使用してくださいまた、硬すぎる場合には、軟らかくなった後に使用してください
３．肛門にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質あり,S9. 糖質コルチコイド,
レーバンＨ注入軟膏ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"成人（１５歳以上）注入：１回１個
１日１～２回使用
成人（１５歳以上）塗布：１回適量
１日１～３回使用
１５歳未満：使用しないこと
【注入する場合】
ノズル部分を肛門内に挿入し、全量をゆっくり注入してください
【塗布する場合】
肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください
＜用法及び用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
レーバンＨ軟膏ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法及び用量に関連する注意＞
１．小児に使用させる場合には、保護者の指導監督のもとに使用させてください
２．肛門部にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質なし,,
オノフェＡ注入軟膏ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"成人（１５歳以上）注入：１回１個
１日１～２回使用
成人（１５歳以上）塗布：１回適量
１日１～３回使用
１５歳未満：使用しないこと
【注入する場合】
ノズル部分を肛門内に挿入し、全量をゆっくり注入してください
【塗布する場合】
肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください
＜用法及び用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
オノフェＨ坐剤ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"成人（１５歳以上）１回１個を１日１～３回、肛門内に挿入してください
＜用法及び用量に関連する注意＞
１．用法・用量を厳守してください
２．本剤が軟らかい場合には、しばらく冷やした後に使用してくださいまた、硬すぎる場合には、軟らかくなった後に使用してください
３．肛門にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質あり,S9. 糖質コルチコイド,
オノフェＨ軟膏ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法及び用量に関連する注意＞
１．小児に使用させる場合には、保護者の指導監督のもとに使用させてください
２．肛門部にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質なし,,
オノフェＨ軟膏ＥＸα,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法及び用量に関連する注意＞
１．小児に使用させる場合には、保護者の指導監督のもとに使用させてください
２．肛門部にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン
ｌ−メントール",禁止物質なし,,
サフィニアぢＥＸ注入軟膏,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"ノズル部分を肛門内に挿入し、全量をゆっくり注入してください（肛門内に注入する場合）
成人（１５歳以上）：１回１個
１日１～２回使用
１５歳未満：使用しないこと
又は次の量を肛門部に塗布してください
なお、一度塗布に使用したものは、注入には使用しないでください（肛門部に塗布する場合）
成人（１５歳以上）：１回適量
１日１～３回使用
１５歳未満：使用しないこと
＜用法・用量に関連する注意＞
１．肛門部にのみ使用してください
２．肛門内に注入する場合、ノズル部分のみを挿入して使用してください
３．用法・用量を厳守してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
トコフェロール酢酸エステル
プレドニゾロン酢酸エステル
リドカイン",禁止物質あり,S9. 糖質コルチコイド,全ての糖質コルチコイドは、注入用、経口使用［口腔粘膜（例えば、頬、歯肉、舌下）投与を含む］又は経直腸使用の場合には、禁止する／他の投与使用（吸入される投与並びに歯科根管内、経皮、経鼻、眼科用、耳及び肛囲局所投与を含む）は、製造業者が承認を受けた用量の投与及び治療目的効能内の使用の場合には、禁止しない
エプールＨ軟膏ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法・用量に関連する注意＞
１．小児に使用させる場合には、保護者の指導監督のもとに使用させてください
２．肛門部にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質なし,,
エフカイＨ軟膏ＥＸ,万協製薬,指定第2類,外用薬（皮膚）,さけ痔,"１日１～３回、適量を肛門部に塗布してください
＜用法・用量に関連する注意＞
１．小児に使用させる場合には、保護者の指導監督のもとに使用させてください
２．肛門部にのみ使用してください",,"アラントイン
イソプロピルメチルフェノール
クロルフェニラミンマレイン酸塩
グリチルレチン酸
トコフェロール酢酸エステル
ヒドロコルチゾン酢酸エステル
リドカイン
酸化亜鉛",禁止物質なし,,
