製品名,Summarized Efficacy
コウキジン,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
ビタイミンＤ３０００,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
ローヤルアスキット内服液,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
ローヤルスカールＤ,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
コウジンＤ内服液,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
アスキット５０００ＥＸ,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
新エゾエースＨ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ビタタイム黄Ｗゴールド,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ビタタイム黄Ｗ液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ヘルビタ黄Ｗローヤル,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ヘルビタ黄Ｗ液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ロスミン黄Ｗ液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
トップビタンＷ内服液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ヘルビタ紅Ｇ液,"肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給。
滋養強壮。"
ロスミン紅Ｇ液,"肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給。
滋養強壮。"
新ヘルビタＧＲ内服液,"肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給。
虚弱体質"
新ロスミンＫ内服液,"肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給。
虚弱体質"
リチンリックＳ内服液,"肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給。
虚弱体質"
トップビタンＷ液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ヘルビタ黄Ｗ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ビタタイム黄Ｗ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ロスミン黄Ｗ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
クロンミンゴールド,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ロスミン紅Ｇ液Ⅱ,"肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給。
滋養強壮。"
ヘルビタ紅Ｇローヤル,"肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給。
滋養強壮。"
複合ゴールドグロンＧ内服液,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
新ビタアルトＱＸ,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
パルウィンＱＸ,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
ビタオーダーＱＸ,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
施君力Ｕ．Ｐ《瓶》,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
施君力Ｕ．Ｐ《パウチ》,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
パワーアクトゴールドα,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
滋養強壮薬α,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
ビタロークゴールドα,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
ヘパフィット《ＰＴＰ包装》,滋養強壮、胃腸障害・栄養障害・病中病後・肉体疲労・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給、
ヘパフィット《瓶》,滋養強壮、胃腸障害・栄養障害・病中病後・肉体疲労・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給、
白鵬丹,"滋養強壮、虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の"
スーパーカロリアン,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
新カーク３０００Ｚ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
フジミンＤ３０ロイヤル,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
新フジフォロー,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
新カーク３０００ＥＸ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ジキナＤ３０ロイヤル,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
リッチミンゴールド,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
新ビタサプリマルチ,"成人［１５歳以上］の場合
滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾"
ビタロークテイオウ液,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイトＧ３０００,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイトドリンクＡ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
メガビタンＤＸ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ファイト５０００,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ダブルファイトαローヤル,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
スペーシアゴールド内服液Ａ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
グロンサンゴールド・錠,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
サインエース内服液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ヒストミン内服液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ユニードリンク１５００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ローヤルユニーＫ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ローヤルユニーエースＫ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ワコンＭゴールド,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ユンケルロイヤル黄帝,"滋養強壮。
肉体疲労・病中病後・発熱性消耗性疾患・食欲不振・栄養障害・妊娠授乳期などの場合の栄養補給"
ファンテユンケルゴールド,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ユンケル黄帝Ｄ,"滋養強壮。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給"
ユンケルゾンネロイヤル,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
エムビタドリンク５０００プレミアム,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ミオＤコーワ７０α,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
ビルタミンゴールドＡＥ２５,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
スタミゲンＳ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
ＤＨＣエルシスホワイト２４０,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ＤＨＣヘパトレバ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
新ハイゼリーＳＮ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
新ヘルサンソフトＢ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
新ローヤルゼロントＢ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
新ローヤルゼロントＳＬ,滋養強壮、虚弱体質、発熱性消耗性疾患・病中病後・栄養障害・食欲不振・肉体疲労・産前産後などの場合の栄
ゼネル５０内服液,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
ネオゼネル液－Ｂ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
リココデバッカンエース,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
コンクレバンキュア,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
ハイアミノ,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
健創清心液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合"
健創補腎片,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
パンビタンエース,"１５歳以上の場合
次の場合の栄養補給：食欲不振、栄養障害、病中病後、発熱性消耗性疾患、妊娠授乳期、肉"
アスパイン内服液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
リポビタンＤロイヤル,"肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給。
滋養強壮"
リポビタンＪｒ．,"小児の発育期・偏食児・発熱性消耗性疾患・病中病後・食欲不振・栄養障害などの場合の栄養補給。
滋養強壮"
ゼナジンジャー,"発熱性消耗性疾患・病中病後・肉体疲労・食欲不振・栄養障害・妊娠授乳期などの場合の栄養補給。
滋養強壮"
アコゲン・Ａ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
アコゲンＷ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
グロスキュー,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
新ハイセーフーＷ,発熱性消耗性疾患・病中病後・食欲不振・肉体疲労・栄養障害・妊娠授乳期などの場合の栄養補給、滋養強壮、
マスチゲン－Ｓ内服液,"肉体疲労・妊娠授乳期・病中病後・食欲不振・栄養障害・発熱性消耗性疾患などの場合の栄養補給。
滋養強壮"
強力イソビタン内服液,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
リキゴールＡ,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
りき精,肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給、滋養強壮、虚
力精５０,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
力精Ｓ,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
力精Ｖ,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
チオタミン５０,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
チオタミン１００,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
チオタミンゴールド内服液,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
バイタック内服液１００,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
ビタルモン内服液,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
ヤングット５０,"滋養強壮。
虚弱体質。
肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期な"
ハイクタンＤ,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
グリタン３０００,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
チオタミン３０００,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
トップローンこども,偏食児・幼児の発育期・小児の発育期・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・食欲不振などの場
ビタルモンアップ,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
若甦錠Ｓ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・妊娠授乳期・発熱性消耗性疾患などの場"
若甦内服液Ｇ,滋養強壮、虚弱体質、肉体疲労・発熱性消耗性疾患・病中病後・胃腸障害・栄養障害・産前産後などの場合の栄
若甦ノンカフェ内服液Ｇ,滋養強壮、虚弱体質、肉体疲労・発熱性消耗性疾患・病中病後・胃腸障害・栄養障害・産前産後などの場合の栄
参精,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
スタミナルン内服液,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
テルオン内服液,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
バンスターミン,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
バンヒントＤＸ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
小児用ブリル内服液,滋養強壮、虚弱体質、幼児の発育期・小児の発育期・偏食児・病後の体力低下・食欲不振・栄養障害・発熱性消
ゼットアップ,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
オキソピタンＶ,滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の
金蛇精ＤⅠ,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ダブルリンクルＸ錠,"１５歳以上
滋養強壮、虚弱体質、肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・産前産後な"
ＭＣカルシウム,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
カタセ錠,酸性体質、虚弱体質、栄養補給、妊産婦及び授乳婦の栄養補給。
カタセ錠Ａ,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
カタセ錠Ｄ３,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
カタセＧ,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
カタセゴールド,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
カタセマグ,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
グロスキューＣａ,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
ツーリックＣａ錠,"１．次の場合の骨歯の発育促進：虚弱体質、腺病質。
２．妊娠授乳婦の骨歯の脆弱防止。"
バイランＣａⅡ,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
新カルシチュウＤ３,次の場合のカルシウムの補給：妊娠・授乳期、老年期、発育期。
新カルシチュウＤ３グリーンＴ,次の場合のカルシウムの補給：妊娠・授乳期、老年期、発育期。
ハイ－ブリルＳ,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
カルシウム錠ＹＳ,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
新ササカール,"１．次の場合の骨歯の発育促進：虚弱体質、腺病質。
２．妊娠授乳婦の骨歯の脆弱防止。"
ボンエナＣａ錠,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
ボンエナＣａ微粒,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
クミアイカルシウム錠Ｄ３プラス,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
タチカワ電解カルシウム,カルシウム不足、栄養補給を目的としたカルシウムの補足、授乳期及び小児の発育期のカルシウムの補給源。
ワダカルシュームエース,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
カルスムース,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
トキメキサンＣＡ錠,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
ワダカルシュームエースＥＸ,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
ネオカルシューム錠,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠・授乳期の骨歯の脆弱防止。"
シピカＤ３ゴールドⅡ錠,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
ゼリアカルシウム液,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
ブリル錠,"次の場合の骨歯の発育促進：虚弱体質、腺病質。
妊娠授乳婦の骨歯の脆弱防止。"
ワダカルシューム末,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
ワダカルシューム錠,次の場合のカルシウムの補給：妊娠・授乳期、発育期、老年期。
ハイチオールＣプルミエール,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ハイチオールＣプラス,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ハイチオールＣホワイティア,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ハイチオールＣプラス２,"しみ・そばかす・日やけ等の色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、くす"
ハイチオールＣプラスＥＸ,"しみ・そばかす・日やけ等の色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、くす"
ピュアプラスホワイト,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ミネチオールＣプレミアム,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ビタシーローヤル２０００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・胃腸障害・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
胱雪肌,しみ・そばかす・日やけなどの色素沈着症、にきび、湿疹、じんましん、かぶれ、くすりまけ、全身倦怠、二日
ホワイトミーＬＣ,しみ・そばかす・日やけなどの色素沈着症、全身倦怠、二日酔、にきび、湿疹、じんましん、かぶれ、くすりま
ザ・リンクフィル,しみ、そばかす、にきび、はだあれ、小じわ、肩こり、腰痛、神経痛、のぼせ、目まい、みみなり、冷え症、手
アストカル３０００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
スラトミン３０００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ビタアルト３０００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
リアルゲン３０００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
ゼオリーＤＸ３０００,"滋養強壮。
虚弱体質。
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場"
アミノホワイト,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ドンホワィドン,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ジーロップＣホワイトプラス,"しみ、そばかす、日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ネージュホワイトプラス,"しみ、そばかす、日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ラセージュホワイトＣプラス,"しみ、そばかす、日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
アンベリーホワイトＣプラス,"しみ、そばかす、日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ウレッシュＣプラスホワイト,"しみ、そばかす、日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
ＤＨＣエルシスホワイト２４０ＥＸ,"しみ・そばかす・日やけなどの色素沈着症。
全身倦怠。
二日酔。
にきび、湿疹、じんましん、かぶれ、く"
キミエホワイトプラス,しみ・そばかす・日やけなどの色素沈着症、にきび、湿疹、じんましん、かぶれ、くすりまけ、全身倦怠、二日
ジンローヤル,次の場合の滋養強壮：虚弱体質、肉体疲労、病後の体力低下、胃腸虚弱、食欲不振、血色不良、冷え症。
アンチスタックス,軽度の静脈還流障害（静脈の血流が滞ること）による次の諸症状の改善：足のむくみ（ふくらはぎのむくみ、足
大木五臓圓,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症、発育期。
正官庄蔘元内服液,次の場合の滋養強壮：虚弱体質、肉体疲労、病中・病後、胃腸虚弱、食欲不振、血色不良、冷え症。
正官庄蔘元内服液ゴールド,次の場合の滋養強壮：虚弱体質、肉体疲労、病中・病後、胃腸虚弱、食欲不振、血色不良、冷え症。
正官庄蔘元内服液ロイヤル,次の場合の滋養強壮：虚弱体質、肉体疲労、病中・病後、胃腸虚弱、食欲不振、血色不良、冷え症。
正官庄中切高麗蔘,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症。
クラシエ高麗人参エキス顆粒,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症、発育期。
複方霊黄参丸,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症、発育期。
霊黄参,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症。
霊鹿参,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症。
能活精,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症、発育期。
活命参,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症。
パナワン「廣貫堂」,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症。
ゆうたん丸,食欲不振（食欲減退）、胃部膨満感・腹部膨満感、消化不良、胃弱、食べ過ぎ（過食）、飲み過ぎ（過飲）、胸
ミオＤコーワ１００α,滋養強壮、虚弱体質、肉体疲労・病後の体力低下・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの
生脈散エキス細粒Ｇ「コタロー」,次の場合の滋養強壮：虚弱体質、肉体疲労、病中病後、胃腸虚弱、食欲不振、血色不良、冷え症、発育期。
金粒マムピン,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄
ユンケルファンティ,"滋養強壮。
肉体疲労・病中病後・発熱性消耗性疾患・食欲不振・栄養障害・産前産後などの場合の栄養補給。"
